LOT_ID,명점,양품,불량률,MC_1BLACK_1PRINT,MC_1BLACK_2RTD,MC_2AG_1PRINT,MC_2AG_2RTD,MC_2AG_3EXPOSURE,MC_3BUS_1DEVELOP,MC_3BUS_2FIRE,MC_4DIELEC_1FIRE,MC_5MGO,MC_6PHOS_1R_1DISPENSER,MC_6PHOS_1R_2DRY,MC_6PHOS_2G_1DISPENSER,MC_6PHOS_2G_2DRY,MC_6PHOS_3B_1DISPENSER,MC_6PHOS_4FIRE,MC_7PASTE,MC_8AGING
LOT-231,3,17,15%,1호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,1호기,1호기,2호기,1호기,2호기,2호기,2호기,2호기,2호기
LOT-232,2,18,10%,2호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,2호기,1호기,1호기,1호기,1호기,2호기,3호기,2호기,2호기
LOT-233,1,19,5%,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기
LOT-234,2,18,10%,2호기,2호기,2호기,1호기,2호기,1호기,1호기,1호기,1호기,1호기,2호기,2호기,1호기,2호기,3호기,1호기,2호기
LOT-235,2,18,10%,2호기,2호기,1호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
LOT-236,3,17,15%,1호기,2호기,1호기,1호기,1호기,2호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기,1호기
LOT-237,3,17,15%,1호기,2호기,2호기,1호기,1호기,1호기,2호기,1호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기
LOT-238,4,16,20%,1호기,2호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
LOT-239,3,17,15%,1호기,1호기,1호기,2호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,2호기,1호기,1호기,1호기
LOT-240,2,18,10%,2호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기,2호기,1호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기
LOT-241,1,19,5%,1호기,2호기,2호기,1호기,1호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,2호기,2호기,2호기,1호기,1호기
LOT-242,3,17,15%,1호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기,3호기,2호기,2호기
LOT-243,2,18,10%,1호기,2호기,2호기,1호기,1호기,2호기,1호기,2호기,1호기,2호기,2호기,2호기,2호기,2호기,2호기,2호기,1호기
LOT-244,4,16,20%,1호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기
LOT-245,2,18,10%,1호기,2호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,2호기,2호기,2호기,1호기,2호기,3호기,1호기,1호기
LOT-246,2,18,10%,1호기,2호기,1호기,2호기,1호기,1호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기
LOT-247,1,19,5%,1호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기,1호기,2호기
LOT-248,2,18,10%,2호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기,3호기,2호기,1호기
LOT-249,5,15,25%,1호기,1호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기,1호기,1호기,2호기,3호기,1호기,1호기
LOT-250,3,17,15%,1호기,1호기,1호기,1호기,1호기,1호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기,1호기,3호기,1호기,2호기
LOT-251,4,16,20%,2호기,1호기,2호기,2호기,2호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기,1호기,2호기
LOT-252,1,19,5%,2호기,2호기,1호기,2호기,1호기,2호기,1호기,2호기,1호기,2호기,2호기,2호기,1호기,2호기,1호기,1호기,1호기
LOT-253,2,18,10%,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기
LOT-254,4,16,20%,1호기,2호기,1호기,2호기,2호기,1호기,1호기,3호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,1호기,2호기
LOT-255,2,18,10%,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,2호기,1호기,1호기,1호기,2호기,1호기
LOT-256,2,18,10%,1호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기,2호기,1호기,2호기,2호기,2호기,2호기,1호기
LOT-257,3,17,15%,2호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,2호기,2호기,1호기,1호기,1호기,1호기,3호기,1호기,2호기
LOT-258,3,17,15%,1호기,1호기,1호기,1호기,1호기,2호기,2호기,3호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기
LOT-259,3,17,15%,2호기,1호기,2호기,1호기,2호기,2호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,1호기,2호기,2호기
LOT-260,1,19,5%,1호기,2호기,2호기,2호기,1호기,2호기,2호기,3호기,2호기,1호기,2호기,2호기,2호기,1호기,1호기,1호기,1호기
LOT-261,3,17,15%,1호기,1호기,2호기,2호기,1호기,2호기,1호기,2호기,2호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기
LOT-262,4,16,20%,1호기,1호기,1호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기,2호기,1호기,1호기,1호기,2호기,1호기,2호기
LOT-263,2,18,10%,1호기,1호기,1호기,1호기,1호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기,1호기,1호기,2호기
LOT-264,2,18,10%,2호기,1호기,1호기,1호기,2호기,1호기,2호기,3호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기
LOT-265,1,19,5%,2호기,2호기,2호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,1호기,2호기,1호기
